index,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,duration_ms
"siren 042, lala lala",-0.5049499679339338,0.45833991576758276,-0.11283409827620612,1.7221448394882528,0.482365635772939,0.570690873761352,-0.5460409323493163,1.3867943472552107,-0.38926633963255913,-0.5452185103823555,-0.48193658986468907,0.23124768086210987,-0.8823924112843574
"make me a song, eleanor friedberger",0.2642409181428857,1.33363546723353,-0.20895848660274943,-0.8152222644631891,0.23791260951143603,0.570690873761352,-0.4686539839035401,-0.8919727329247856,-0.35370526425446813,-0.4457463505273427,0.17581583759289224,0.23124768086210987,1.0590913016026842
"uprising, muse",0.19520155065706593,0.46528670585858234,1.3015676156715015,-0.8152222644631891,1.364464571100508,0.570690873761352,0.4430020185186529,-1.0866162326802105,-0.1060912099802093,-0.4830484104729725,-0.6653099938831665,0.23124768086210987,0.7468350697173987
"time is running out, muse",-0.14782687705363529,0.34719127431158936,1.0131944506918722,1.158285483054599,0.8774144526163649,-1.7522621194362638,0.029642464625360392,-1.0787089964727024,-0.38406109330498633,-0.6720455141974969,-0.5975415619632943,0.23124768086210987,-0.02134245284509615
"knights of cydonia, muse",0.5132932666061713,-1.1741557556173188,1.5670540215257636,1.7221448394882528,1.0317221112760115,-1.7522621194362638,1.6604308416290345,-1.0863631155608535,-0.3580835088290621,-0.4954824304548491,-1.4625856635287198,0.23124768086210987,1.442194348363829
"vicious, lou reed",0.06327830133765668,0.4861270761315811,1.0315038579921656,-0.8152222644631891,0.38108466393791257,0.570690873761352,-0.383717089267932,-1.0851973507998731,3.892705501482281,-0.883423853889399,1.4913206925080549,0.23124768086210987,-0.7068899064983244
"like a hurricane - 2017 remaster, neil young",-0.301084480054073,-0.7712419303393431,1.113896190843489,1.158285483054599,1.235609722116679,-1.7522621194362638,-0.33086746593910926,-1.0417039866287279,-0.40697390657869476,-0.2841040907629469,-0.027489458166723563,0.23124768086210987,2.9296035690423587
"smile like you mean it, the killers",0.09265675558694195,-1.201942915981317,1.6402916507269394,-0.5332925862463622,1.7528850520908563,-1.7522621194362638,2.019053285646047,-1.0859887874265939,-0.34397583186648156,0.2256907284939939,-0.7769285876335438,0.23124768086210987,-0.05457349522969493
"season of the witch, donovan",-0.7940129731367216,-0.13213724196738139,-0.49275429975730534,-0.8152222644631891,-0.41617157247026354,0.570690873761352,-0.4762039300933719,-0.5204966225450054,-0.37087771241926454,-0.8299575679673297,0.46283507866529167,0.23124768086210987,0.6232581930420428
"harvest moon, neil young",-0.33256139532116397,0.7848390500445633,-1.4265340720722968,-0.8152222644631891,-0.8589444074558484,0.570690873761352,-0.5215036072323629,0.7878693324394419,-0.416221732063476,-0.4395293405364044,-0.6812555072760775,0.23124768086210987,0.7284010751862898
"canopée, polo & pan",-0.9244672997436666,1.1738592951405402,0.326591676930849,0.030566770187291505,0.698449384583269,-1.7522621194362638,-0.4460041453340446,-0.7515105568310876,-0.3644076398812534,-0.6372302582482423,-0.8327378845087325,0.23124768086210987,0.4233960765523317
"saat vayse, zedbazi",0.12497305526115536,1.1530189248675407,0.5142631017588616,1.440215161271426,-0.1664158775262988,-1.7522621194362638,-0.32331751974927736,0.8698650189916004,-0.41737758863116886,-0.686344637176655,0.8255955083540182,0.23124768086210987,0.835436076007055
"les bateaux, pépite",0.5431613617596106,-0.014041810420389175,-0.4286713742062765,-0.25136290802953537,0.10004322376742167,0.570690873761352,-0.5120661744950731,-0.11408321963430508,-0.41730510435987833,-0.8461217939437692,-1.1237435039293593,0.23124768086210987,-0.5801406152755127
"free, cat power",0.3912677584207474,2.0699952168794855,0.2396219922544522,-1.3790816208968428,0.09049842013898954,0.570690873761352,-0.3572922776035206,0.060603243020294094,-0.37603431158489736,-0.4830484104729725,0.6581676177284519,0.23124768086210987,-0.2925045862888747
"beginning to see the light - closet mix, the velvet underground",0.07558927264211916,0.5139142364955794,0.05195056742643955,0.030566770187291505,0.12973816838920943,0.570690873761352,-0.4913038224730355,-0.6737929060990414,3.810005326184396,-0.40222728059077456,1.048832695854773,0.23124768086210987,0.464342884318421
"new age - live from the matrix, san francisco, ca / 1969, the velvet underground",-1.463072294313894,-1.049113533979326,-0.44240342968149693,-1.3790816208968428,0.16738711603469017,0.570690873761352,-0.43845419914421274,0.9768159144944163,-0.41678603914197926,0.9095618274972072,-0.9323973432144268,0.23124768086210987,1.7808949215125491
"rock and roll - live from the matrix, san francisco, ca / 1969, the velvet underground",0.6228329317356489,-0.5419978573363566,0.7568627484877561,-1.3790816208968428,0.605122415771936,0.570690873761352,-0.4686539839035401,-0.3172899210896551,-0.387952866260181,-0.514133460427664,-0.9005063164286045,0.23124768086210987,1.4406874514537877
"ocean - live from the matrix, san francisco, ca / 1969, the velvet underground",-1.4790205980492204,-1.9869301962642696,0.23046728860430518,0.5944261266209453,0.41926387845163926,0.570690873761352,-0.42901676640692293,0.3814559295287415,1.6743949170213377,0.5551922580137236,-1.4426537717875805,0.23124768086210987,4.76175228056173
"pale blue eyes - closet mix, the velvet underground",-1.384380006146166,0.7501050995895654,-2.268766807885818,0.030566770187291505,-2.2564627387187333,0.570690873761352,-0.3742796565306422,2.1354506157749213,-0.4166255035075775,-0.5700865503461088,-0.940370099910882,0.23124768086210987,1.136282945573455
"hey mr. rain - version one, the velvet underground",-0.8107656869288735,-1.5353888403492968,-0.9047159640139193,1.158285483054599,-0.835347531818892,0.570690873761352,-0.18364351523738864,-0.11051818978421121,1.3776472291877464,0.16973763857554913,-0.7450375608477217,0.23124768086210987,0.46645027398208805
