name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Wanna Be Startin' Somethin',Michael Jackson,0.846,0.922,6,-4.206,0,0.0438,0.0219,0.355,0.0623,0.899,122.195,audio_features,2kulOHR2XY6YDZCWXb38hn,spotify:track:2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/tracks/2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/audio-analysis/2kulOHR2XY6YDZCWXb38hn,362373,4
Off the Wall,Michael Jackson,0.827,0.595,3,-13.909,0,0.0565,0.182,0.0,0.0785,0.921,118.741,audio_features,3zYpRGnnoegSpt3SguSo3W,spotify:track:3zYpRGnnoegSpt3SguSo3W,https://api.spotify.com/v1/tracks/3zYpRGnnoegSpt3SguSo3W,https://api.spotify.com/v1/audio-analysis/3zYpRGnnoegSpt3SguSo3W,246000,4
Dangerous,Michael Jackson,0.943,0.681,10,-4.931,1,0.125,0.0287,4.1e-05,0.114,0.579,112.947,audio_features,3Jo8w8vow92GQAbBJas0I5,spotify:track:3Jo8w8vow92GQAbBJas0I5,https://api.spotify.com/v1/tracks/3Jo8w8vow92GQAbBJas0I5,https://api.spotify.com/v1/audio-analysis/3Jo8w8vow92GQAbBJas0I5,418627,4
Dirty Diana - 2012 Remaster,Michael Jackson,0.734,0.801,3,-4.525,1,0.0437,0.178,0.000401,0.324,0.331,131.424,audio_features,4FC7GMnGwYeAjuvC83Srbs,spotify:track:4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/tracks/4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/audio-analysis/4FC7GMnGwYeAjuvC83Srbs,280947,4
Somebody's Watching Me - Single Version,Rockwell,0.767,0.712,1,-4.128,0,0.0324,0.0409,8.08e-05,0.132,0.804,124.091,audio_features,6A4Jc8npNo79BOgsrPptLA,spotify:track:6A4Jc8npNo79BOgsrPptLA,https://api.spotify.com/v1/tracks/6A4Jc8npNo79BOgsrPptLA,https://api.spotify.com/v1/audio-analysis/6A4Jc8npNo79BOgsrPptLA,237760,4
Thriller,Michael Jackson,0.764,0.887,11,-3.725,1,0.0738,0.0816,0.000108,0.847,0.721,118.421,audio_features,7azo4rpSUh8nXgtonC6Pkq,spotify:track:7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/tracks/7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/audio-analysis/7azo4rpSUh8nXgtonC6Pkq,358053,4
Remember the Time,Michael Jackson,0.831,0.921,5,-2.383,0,0.0581,0.153,0.00213,0.305,0.794,108.002,audio_features,4jnFqNWeJCeCRHc4HCdxfd,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/tracks/4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/audio-analysis/4jnFqNWeJCeCRHc4HCdxfd,239227,4
Love Never Felt So Good,Michael Jackson,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,audio_features,48td6xvpokdYwvbl3JIiXP,spotify:track:48td6xvpokdYwvbl3JIiXP,https://api.spotify.com/v1/tracks/48td6xvpokdYwvbl3JIiXP,https://api.spotify.com/v1/audio-analysis/48td6xvpokdYwvbl3JIiXP,246027,4
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,audio_features,0sKlV58cODrjxGFOyf9IXY,spotify:track:0sKlV58cODrjxGFOyf9IXY,https://api.spotify.com/v1/tracks/0sKlV58cODrjxGFOyf9IXY,https://api.spotify.com/v1/audio-analysis/0sKlV58cODrjxGFOyf9IXY,298120,4
Rock with You - Single Version,Michael Jackson,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,audio_features,7oOOI85fVQvVnK5ynNMdW7,spotify:track:7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627,4
Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,audio_features,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,365467,4
Smooth Criminal - 2012 Remaster,Michael Jackson,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,audio_features,2bCQHF9gdG5BNDVuEIEnNk,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760,4
Beat It - Single Version,Michael Jackson,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,audio_features,1OOtq8tRnDM8kG2gqUPjAj,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,0.702,0.668,9,-9.237,1,0.214,0.518,0.0,0.0588,0.561,116.063,audio_features,1Ud6moTC0KyXMq1Oxfien0,spotify:track:1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/tracks/1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/audio-analysis/1Ud6moTC0KyXMq1Oxfien0,378147,4
Parachute Woman - 50th Anniversary Edition,The Rolling Stones,0.519,0.63,4,-7.518,0,0.0647,0.455,0.367,0.168,0.839,114.416,audio_features,2t95lca5RT63G2J988AorQ,spotify:track:2t95lca5RT63G2J988AorQ,https://api.spotify.com/v1/tracks/2t95lca5RT63G2J988AorQ,https://api.spotify.com/v1/audio-analysis/2t95lca5RT63G2J988AorQ,140147,4
Prodigal Son - 50th Anniversary Edition,The Rolling Stones,0.627,0.597,1,-9.095,0,0.0558,0.435,0.00734,0.128,0.0938,108.286,audio_features,294YjFlURvve9qm23KZCqP,spotify:track:294YjFlURvve9qm23KZCqP,https://api.spotify.com/v1/tracks/294YjFlURvve9qm23KZCqP,https://api.spotify.com/v1/audio-analysis/294YjFlURvve9qm23KZCqP,171947,4
Stray Cat Blues - 50th Anniversary Edition,The Rolling Stones,0.349,0.831,2,-6.425,1,0.0514,0.0031,0.00916,0.0882,0.428,104.747,audio_features,0mynYmSfl8q2KhjSp96G3w,spotify:track:0mynYmSfl8q2KhjSp96G3w,https://api.spotify.com/v1/tracks/0mynYmSfl8q2KhjSp96G3w,https://api.spotify.com/v1/audio-analysis/0mynYmSfl8q2KhjSp96G3w,278013,4
No Expectations - 50th Anniversary Edition,The Rolling Stones,0.302,0.275,9,-12.281,1,0.0306,0.536,0.00959,0.118,0.293,182.368,audio_features,49ScE2M6RIqfeHnnP4v94B,spotify:track:49ScE2M6RIqfeHnnP4v94B,https://api.spotify.com/v1/tracks/49ScE2M6RIqfeHnnP4v94B,https://api.spotify.com/v1/audio-analysis/49ScE2M6RIqfeHnnP4v94B,237000,4
Dear Doctor - 50th Anniversary Edition,The Rolling Stones,0.604,0.453,2,-8.273,1,0.0307,0.0953,1.61e-05,0.142,0.422,126.453,audio_features,3oxqLl1TcDNYgAaAxct3jK,spotify:track:3oxqLl1TcDNYgAaAxct3jK,https://api.spotify.com/v1/tracks/3oxqLl1TcDNYgAaAxct3jK,https://api.spotify.com/v1/audio-analysis/3oxqLl1TcDNYgAaAxct3jK,201947,3
Jigsaw Puzzle - 50th Anniversary Edition,The Rolling Stones,0.41,0.677,4,-8.984,1,0.0454,0.237,6.44e-06,0.0695,0.769,113.606,audio_features,4FzDrD5KndBVrFaVwZToen,spotify:track:4FzDrD5KndBVrFaVwZToen,https://api.spotify.com/v1/tracks/4FzDrD5KndBVrFaVwZToen,https://api.spotify.com/v1/audio-analysis/4FzDrD5KndBVrFaVwZToen,366880,4
Street Fighting Man - 50th Anniversary Edition,The Rolling Stones,0.583,0.855,0,-7.213,1,0.0333,0.1,0.0177,0.262,0.69,128.178,audio_features,7EXgO1bRnEArE58rtrgMWB,spotify:track:7EXgO1bRnEArE58rtrgMWB,https://api.spotify.com/v1/tracks/7EXgO1bRnEArE58rtrgMWB,https://api.spotify.com/v1/audio-analysis/7EXgO1bRnEArE58rtrgMWB,195147,4
Factory Girl - 50th Anniversary Edition,The Rolling Stones,0.443,0.462,2,-9.74,1,0.0351,0.203,1.22e-06,0.142,0.447,177.096,audio_features,5DZPlkknHAi3JxcpMFlJ69,spotify:track:5DZPlkknHAi3JxcpMFlJ69,https://api.spotify.com/v1/tracks/5DZPlkknHAi3JxcpMFlJ69,https://api.spotify.com/v1/audio-analysis/5DZPlkknHAi3JxcpMFlJ69,129933,3
Salt Of The Earth - 50th Anniversary Edition,The Rolling Stones,0.389,0.777,4,-6.534,1,0.0404,0.155,2.62e-06,0.141,0.365,96.902,audio_features,5FTPD9wSP9IjYBeivNE7cU,spotify:track:5FTPD9wSP9IjYBeivNE7cU,https://api.spotify.com/v1/tracks/5FTPD9wSP9IjYBeivNE7cU,https://api.spotify.com/v1/audio-analysis/5FTPD9wSP9IjYBeivNE7cU,289533,4
Come On - Saturday Club / 1963,The Rolling Stones,0.403,0.643,0,-10.393,1,0.0424,0.0156,1.24e-05,0.266,0.847,170.037,audio_features,7eswiDT4ywPVo55FkMvYfN,spotify:track:7eswiDT4ywPVo55FkMvYfN,https://api.spotify.com/v1/tracks/7eswiDT4ywPVo55FkMvYfN,https://api.spotify.com/v1/audio-analysis/7eswiDT4ywPVo55FkMvYfN,122987,4
The Spider And The Fly - Yeah Yeah / 1965,The Rolling Stones,0.683,0.633,4,-10.846,1,0.109,0.0301,0.782,0.109,0.892,111.757,audio_features,74zFAG85kiVy31xUqowR9D,spotify:track:74zFAG85kiVy31xUqowR9D,https://api.spotify.com/v1/tracks/74zFAG85kiVy31xUqowR9D,https://api.spotify.com/v1/audio-analysis/74zFAG85kiVy31xUqowR9D,194160,4
Cops And Robbers - Blues In Rhythm / 1964,The Rolling Stones,0.692,0.538,11,-10.434,0,0.106,0.355,0.00269,0.446,0.464,113.791,audio_features,4SwJn3vkg2MXwxF9Kxj4B6,spotify:track:4SwJn3vkg2MXwxF9Kxj4B6,https://api.spotify.com/v1/tracks/4SwJn3vkg2MXwxF9Kxj4B6,https://api.spotify.com/v1/audio-analysis/4SwJn3vkg2MXwxF9Kxj4B6,224867,4
"Memphis, Tennessee - Saturday Club / 1963",The Rolling Stones,0.765,0.438,4,-11.582,1,0.0358,0.715,0.0,0.0837,0.948,96.359,audio_features,21MEgGQlLHFbL4HBEkK0N6,spotify:track:21MEgGQlLHFbL4HBEkK0N6,https://api.spotify.com/v1/tracks/21MEgGQlLHFbL4HBEkK0N6,https://api.spotify.com/v1/audio-analysis/21MEgGQlLHFbL4HBEkK0N6,142093,4
Down The Road Apiece - Top Gear / 1965,The Rolling Stones,0.618,0.812,2,-8.318,1,0.0598,0.0419,0.809,0.0465,0.881,85.983,audio_features,4Z7uQ0Yk8x2itRiND63i8T,spotify:track:4Z7uQ0Yk8x2itRiND63i8T,https://api.spotify.com/v1/tracks/4Z7uQ0Yk8x2itRiND63i8T,https://api.spotify.com/v1/audio-analysis/4Z7uQ0Yk8x2itRiND63i8T,121787,4
The Last Time - Top Gear / 1965,The Rolling Stones,0.371,0.797,9,-8.968,1,0.0544,0.0473,0.071,0.349,0.756,181.455,audio_features,4F5anLB9Q95wYWKZKrk77X,spotify:track:4F5anLB9Q95wYWKZKrk77X,https://api.spotify.com/v1/tracks/4F5anLB9Q95wYWKZKrk77X,https://api.spotify.com/v1/audio-analysis/4F5anLB9Q95wYWKZKrk77X,190573,4
Cry To Me - Saturday Club / 1965,The Rolling Stones,0.409,0.597,2,-9.651,1,0.0477,0.242,0.0227,0.106,0.839,186.877,audio_features,3ltswlzOUT50lnSeBKHOAN,spotify:track:3ltswlzOUT50lnSeBKHOAN,https://api.spotify.com/v1/tracks/3ltswlzOUT50lnSeBKHOAN,https://api.spotify.com/v1/audio-analysis/3ltswlzOUT50lnSeBKHOAN,187200,3
"Mercy, Mercy - Yeah Yeah / 1965",The Rolling Stones,0.711,0.636,9,-9.935,1,0.0457,0.0495,0.674,0.0806,0.784,117.807,audio_features,1iOVPVxuXZzKqmLDSahphI,spotify:track:1iOVPVxuXZzKqmLDSahphI,https://api.spotify.com/v1/tracks/1iOVPVxuXZzKqmLDSahphI,https://api.spotify.com/v1/audio-analysis/1iOVPVxuXZzKqmLDSahphI,174653,4
Oh! Baby (We Got A Good Thing Goin’) - Saturday Club / 1965,The Rolling Stones,0.51,0.716,11,-9.858,0,0.0457,0.009,0.12,0.296,0.947,152.378,audio_features,6nsKGFoC9NGq5PCb6JuKuZ,spotify:track:6nsKGFoC9NGq5PCb6JuKuZ,https://api.spotify.com/v1/tracks/6nsKGFoC9NGq5PCb6JuKuZ,https://api.spotify.com/v1/audio-analysis/6nsKGFoC9NGq5PCb6JuKuZ,109280,4
Around And Around - Top Gear / 1964,The Rolling Stones,0.358,0.723,2,-8.688,1,0.0597,0.149,0.0691,0.0874,0.686,181.658,audio_features,47WiJCfLnjBBmxJbuhBsfV,spotify:track:47WiJCfLnjBBmxJbuhBsfV,https://api.spotify.com/v1/tracks/47WiJCfLnjBBmxJbuhBsfV,https://api.spotify.com/v1/audio-analysis/47WiJCfLnjBBmxJbuhBsfV,165627,4
Fannie Mae - Saturday Club / 1965,The Rolling Stones,0.543,0.7,7,-8.144,1,0.0306,0.0225,0.867,0.108,0.944,142.334,audio_features,6OV7AFZ2xXU4hKyOnZe5Sn,spotify:track:6OV7AFZ2xXU4hKyOnZe5Sn,https://api.spotify.com/v1/tracks/6OV7AFZ2xXU4hKyOnZe5Sn,https://api.spotify.com/v1/audio-analysis/6OV7AFZ2xXU4hKyOnZe5Sn,131827,4
You Better Move On - Blues In Rhythm / 1964,The Rolling Stones,0.758,0.358,4,-13.116,1,0.0454,0.231,0.0273,0.306,0.566,114.685,audio_features,6fmXseXCaHX20EB51e9zLf,spotify:track:6fmXseXCaHX20EB51e9zLf,https://api.spotify.com/v1/tracks/6fmXseXCaHX20EB51e9zLf,https://api.spotify.com/v1/audio-analysis/6fmXseXCaHX20EB51e9zLf,166480,4
Mona - Blues In Rhythm / 1964,The Rolling Stones,0.771,0.483,11,-11.341,1,0.0429,0.569,0.0873,0.683,0.502,110.622,audio_features,6TxIjTiDxZdej5GWURCYeK,spotify:track:6TxIjTiDxZdej5GWURCYeK,https://api.spotify.com/v1/tracks/6TxIjTiDxZdej5GWURCYeK,https://api.spotify.com/v1/audio-analysis/6TxIjTiDxZdej5GWURCYeK,178413,4
Flip The Switch - Remastered,The Rolling Stones,0.388,0.928,9,-4.504,0,0.0495,0.000119,0.00162,0.364,0.594,163.15,audio_features,6j0ueLJBI9FQDpeDHj3enY,spotify:track:6j0ueLJBI9FQDpeDHj3enY,https://api.spotify.com/v1/tracks/6j0ueLJBI9FQDpeDHj3enY,https://api.spotify.com/v1/audio-analysis/6j0ueLJBI9FQDpeDHj3enY,207467,4
Anybody Seen My Baby? - Remastered,The Rolling Stones,0.605,0.742,4,-4.363,0,0.0327,0.00286,0.00105,0.256,0.47,105.04,audio_features,4tXr9v3K7nWW1aebWqR1B7,spotify:track:4tXr9v3K7nWW1aebWqR1B7,https://api.spotify.com/v1/tracks/4tXr9v3K7nWW1aebWqR1B7,https://api.spotify.com/v1/audio-analysis/4tXr9v3K7nWW1aebWqR1B7,271160,4
Low Down - Remastered,The Rolling Stones,0.476,0.943,7,-4.058,1,0.0511,0.00296,7.76e-06,0.146,0.607,116.263,audio_features,5sbfd5DYBkRxcTLIlzmGGa,spotify:track:5sbfd5DYBkRxcTLIlzmGGa,https://api.spotify.com/v1/tracks/5sbfd5DYBkRxcTLIlzmGGa,https://api.spotify.com/v1/audio-analysis/5sbfd5DYBkRxcTLIlzmGGa,264307,4
Already Over Me - Remastered,The Rolling Stones,0.48,0.481,0,-5.823,1,0.0259,0.142,0.000269,0.43,0.179,73.188,audio_features,6Okqb0Krvl8XqFiLJsDOhG,spotify:track:6Okqb0Krvl8XqFiLJsDOhG,https://api.spotify.com/v1/tracks/6Okqb0Krvl8XqFiLJsDOhG,https://api.spotify.com/v1/audio-analysis/6Okqb0Krvl8XqFiLJsDOhG,324467,4
Gunface - Remastered,The Rolling Stones,0.491,0.905,7,-4.511,1,0.0571,0.000932,0.000253,0.0578,0.618,98.459,audio_features,54picAS7IDUd5JA1XXSdxg,spotify:track:54picAS7IDUd5JA1XXSdxg,https://api.spotify.com/v1/tracks/54picAS7IDUd5JA1XXSdxg,https://api.spotify.com/v1/audio-analysis/54picAS7IDUd5JA1XXSdxg,302133,4
You Don't Have To Mean It - Remastered,The Rolling Stones,0.683,0.681,9,-6.493,1,0.0386,0.275,0.0,0.0675,0.901,129.679,audio_features,2Vw48kOz2le3Gi5UefiiQ5,spotify:track:2Vw48kOz2le3Gi5UefiiQ5,https://api.spotify.com/v1/tracks/2Vw48kOz2le3Gi5UefiiQ5,https://api.spotify.com/v1/audio-analysis/2Vw48kOz2le3Gi5UefiiQ5,223827,4
Out Of Control,The Rolling Stones,0.742,0.56,9,-7.905,1,0.0424,0.325,0.0378,0.538,0.715,122.202,audio_features,4cYixasStbsXGnhyKxHEFN,spotify:track:4cYixasStbsXGnhyKxHEFN,https://api.spotify.com/v1/tracks/4cYixasStbsXGnhyKxHEFN,https://api.spotify.com/v1/audio-analysis/4cYixasStbsXGnhyKxHEFN,283840,4
Saint Of Me,The Rolling Stones,0.671,0.918,10,-5.775,1,0.0504,0.0049,0.0443,0.0895,0.494,121.541,audio_features,6OEpSYq8wdqnl01hsoQGQY,spotify:track:6OEpSYq8wdqnl01hsoQGQY,https://api.spotify.com/v1/tracks/6OEpSYq8wdqnl01hsoQGQY,https://api.spotify.com/v1/audio-analysis/6OEpSYq8wdqnl01hsoQGQY,314627,4
Might As Well Get Juiced - Remastered,The Rolling Stones,0.467,0.905,5,-6.441,0,0.0785,0.00331,0.0504,0.195,0.565,169.387,audio_features,2L0zopswuxWQNIinFQR20n,spotify:track:2L0zopswuxWQNIinFQR20n,https://api.spotify.com/v1/tracks/2L0zopswuxWQNIinFQR20n,https://api.spotify.com/v1/audio-analysis/2L0zopswuxWQNIinFQR20n,323133,4
Always Suffering - Remastered,The Rolling Stones,0.313,0.506,9,-8.054,1,0.0312,0.197,2.44e-06,0.197,0.161,175.849,audio_features,2VkaFsGhc45zsV6f5E8VGS,spotify:track:2VkaFsGhc45zsV6f5E8VGS,https://api.spotify.com/v1/tracks/2VkaFsGhc45zsV6f5E8VGS,https://api.spotify.com/v1/audio-analysis/2VkaFsGhc45zsV6f5E8VGS,283800,4
Too Tight - Remastered,The Rolling Stones,0.331,0.912,7,-4.828,1,0.0453,0.000294,0.367,0.127,0.582,150.397,audio_features,0G2PKlNp1qW5ca0zsvTVHx,spotify:track:0G2PKlNp1qW5ca0zsvTVHx,https://api.spotify.com/v1/tracks/0G2PKlNp1qW5ca0zsvTVHx,https://api.spotify.com/v1/audio-analysis/0G2PKlNp1qW5ca0zsvTVHx,214707,4
Thief In The Night - Remastered,The Rolling Stones,0.517,0.565,7,-7.602,1,0.0245,0.282,0.000604,0.379,0.588,90.639,audio_features,7yztBhnUEzIHxEHjwzQavj,spotify:track:7yztBhnUEzIHxEHjwzQavj,https://api.spotify.com/v1/tracks/7yztBhnUEzIHxEHjwzQavj,https://api.spotify.com/v1/audio-analysis/7yztBhnUEzIHxEHjwzQavj,316227,4
How Can I Stop - Remastered,The Rolling Stones,0.546,0.314,9,-10.795,1,0.0262,0.705,0.00689,0.199,0.167,139.413,audio_features,0NqsjRk9672vuRxlmoXAGk,spotify:track:0NqsjRk9672vuRxlmoXAGk,https://api.spotify.com/v1/tracks/0NqsjRk9672vuRxlmoXAGk,https://api.spotify.com/v1/audio-analysis/0NqsjRk9672vuRxlmoXAGk,413600,4
Love Is Strong,The Rolling Stones,0.53,0.855,2,-5.116,1,0.0461,0.0169,0.238,0.0628,0.511,110.14,audio_features,3Is1ugfPG3hdFWTq15nNBV,spotify:track:3Is1ugfPG3hdFWTq15nNBV,https://api.spotify.com/v1/tracks/3Is1ugfPG3hdFWTq15nNBV,https://api.spotify.com/v1/audio-analysis/3Is1ugfPG3hdFWTq15nNBV,228867,4
You Got Me Rocking,The Rolling Stones,0.501,0.789,0,-3.633,1,0.0372,0.000947,0.0361,0.267,0.653,126.253,audio_features,0JTrB3fXGdyGcwxFFECsm1,spotify:track:0JTrB3fXGdyGcwxFFECsm1,https://api.spotify.com/v1/tracks/0JTrB3fXGdyGcwxFFECsm1,https://api.spotify.com/v1/audio-analysis/0JTrB3fXGdyGcwxFFECsm1,216133,4
Sparks Will Fly - Remastered,The Rolling Stones,0.426,0.956,7,-4.151,1,0.102,0.00589,0.00174,0.284,0.664,154.886,audio_features,0cCApinL6pNKz5HC4ptxSp,spotify:track:0cCApinL6pNKz5HC4ptxSp,https://api.spotify.com/v1/tracks/0cCApinL6pNKz5HC4ptxSp,https://api.spotify.com/v1/audio-analysis/0cCApinL6pNKz5HC4ptxSp,195467,4
The Worst - Remastered,The Rolling Stones,0.486,0.451,9,-10.86,1,0.033,0.147,0.000541,0.295,0.24,69.393,audio_features,3ZpTSIpuTsQqRPzZmS7yzb,spotify:track:3ZpTSIpuTsQqRPzZmS7yzb,https://api.spotify.com/v1/tracks/3ZpTSIpuTsQqRPzZmS7yzb,https://api.spotify.com/v1/audio-analysis/3ZpTSIpuTsQqRPzZmS7yzb,144867,4
New Faces - Remastered,The Rolling Stones,0.531,0.48,2,-10.536,1,0.0268,0.357,0.0,0.333,0.664,110.446,audio_features,63I05wfNrImvTufyFjZweu,spotify:track:63I05wfNrImvTufyFjZweu,https://api.spotify.com/v1/tracks/63I05wfNrImvTufyFjZweu,https://api.spotify.com/v1/audio-analysis/63I05wfNrImvTufyFjZweu,171760,3
Moon Is Up - Remastered,The Rolling Stones,0.649,0.645,5,-8.184,1,0.0275,0.0808,0.171,0.161,0.559,116.135,audio_features,0D5hODcjdnKjFmTdqfMGHa,spotify:track:0D5hODcjdnKjFmTdqfMGHa,https://api.spotify.com/v1/tracks/0D5hODcjdnKjFmTdqfMGHa,https://api.spotify.com/v1/audio-analysis/0D5hODcjdnKjFmTdqfMGHa,220307,4
Out Of Tears,The Rolling Stones,0.388,0.472,2,-7.121,1,0.0285,0.378,0.000934,0.135,0.137,144.354,audio_features,3mP4j0qZkutkxDN4zgbtnA,spotify:track:3mP4j0qZkutkxDN4zgbtnA,https://api.spotify.com/v1/tracks/3mP4j0qZkutkxDN4zgbtnA,https://api.spotify.com/v1/audio-analysis/3mP4j0qZkutkxDN4zgbtnA,327600,4
I Go Wild - Remastered,The Rolling Stones,0.482,0.975,8,-3.096,1,0.0977,0.0324,0.0199,0.31,0.47,108.974,audio_features,0trapmPLLO4k2YQehFrO3v,spotify:track:0trapmPLLO4k2YQehFrO3v,https://api.spotify.com/v1/tracks/0trapmPLLO4k2YQehFrO3v,https://api.spotify.com/v1/audio-analysis/0trapmPLLO4k2YQehFrO3v,264000,4
Brand New Car - Remastered,The Rolling Stones,0.646,0.795,9,-6.344,1,0.0532,0.0117,0.000627,0.395,0.773,118.891,audio_features,3QKJss7717GxhLHzO040wc,spotify:track:3QKJss7717GxhLHzO040wc,https://api.spotify.com/v1/tracks/3QKJss7717GxhLHzO040wc,https://api.spotify.com/v1/audio-analysis/3QKJss7717GxhLHzO040wc,254000,4
Sweethearts Together - Remastered,The Rolling Stones,0.667,0.574,7,-7.793,1,0.0271,0.0643,2.52e-05,0.153,0.632,127.325,audio_features,54EMrgM3V16raw6r1mAQbC,spotify:track:54EMrgM3V16raw6r1mAQbC,https://api.spotify.com/v1/tracks/54EMrgM3V16raw6r1mAQbC,https://api.spotify.com/v1/audio-analysis/54EMrgM3V16raw6r1mAQbC,285640,4
Suck On The Jugular - Remastered,The Rolling Stones,0.477,0.896,11,-5.999,1,0.0644,0.0974,0.0526,0.0521,0.726,102.591,audio_features,4pz9KMfqlxYnhrhvPxVW5T,spotify:track:4pz9KMfqlxYnhrhvPxVW5T,https://api.spotify.com/v1/tracks/4pz9KMfqlxYnhrhvPxVW5T,https://api.spotify.com/v1/audio-analysis/4pz9KMfqlxYnhrhvPxVW5T,266533,4
Blinded By Rainbows - Remastered,The Rolling Stones,0.332,0.472,7,-8.183,1,0.0424,0.688,0.000556,0.116,0.261,89.811,audio_features,2BPuGATHtSHLud79E6tOQm,spotify:track:2BPuGATHtSHLud79E6tOQm,https://api.spotify.com/v1/tracks/2BPuGATHtSHLud79E6tOQm,https://api.spotify.com/v1/audio-analysis/2BPuGATHtSHLud79E6tOQm,273907,4
Baby Break It Down - Remastered,The Rolling Stones,0.427,0.756,0,-5.732,1,0.0362,0.0859,2.97e-06,0.137,0.745,199.393,audio_features,0YdL0lrO1K6XAR6Q1SJ6SD,spotify:track:0YdL0lrO1K6XAR6Q1SJ6SD,https://api.spotify.com/v1/tracks/0YdL0lrO1K6XAR6Q1SJ6SD,https://api.spotify.com/v1/audio-analysis/0YdL0lrO1K6XAR6Q1SJ6SD,248227,4
Thru and Thru - Remastered,The Rolling Stones,0.386,0.316,9,-9.595,1,0.0308,0.722,1.22e-05,0.0862,0.191,83.51,audio_features,64cSND3LNJY0GeK2zy0QLJ,spotify:track:64cSND3LNJY0GeK2zy0QLJ,https://api.spotify.com/v1/tracks/64cSND3LNJY0GeK2zy0QLJ,https://api.spotify.com/v1/audio-analysis/64cSND3LNJY0GeK2zy0QLJ,361093,4
Mean Disposition - Remastered,The Rolling Stones,0.358,0.914,11,-5.723,0,0.051,0.126,0.379,0.203,0.83,183.848,audio_features,54vUpRNkjPNkxs2iIG8Xc3,spotify:track:54vUpRNkjPNkxs2iIG8Xc3,https://api.spotify.com/v1/tracks/54vUpRNkjPNkxs2iIG8Xc3,https://api.spotify.com/v1/audio-analysis/54vUpRNkjPNkxs2iIG8Xc3,248507,4
Hold On To Your Hat - Remastered,The Rolling Stones,0.24,0.984,0,-3.495,1,0.115,0.312,0.349,0.498,0.413,189.6,audio_features,2AJRdtmk5arBnjCeTkIvKA,spotify:track:2AJRdtmk5arBnjCeTkIvKA,https://api.spotify.com/v1/tracks/2AJRdtmk5arBnjCeTkIvKA,https://api.spotify.com/v1/audio-analysis/2AJRdtmk5arBnjCeTkIvKA,212360,4
Can't Be Seen - Remastered,The Rolling Stones,0.507,0.973,6,-4.395,0,0.0374,0.0486,0.000356,0.351,0.867,142.408,audio_features,28AMofKZekNPVodD2ULKwD,spotify:track:28AMofKZekNPVodD2ULKwD,https://api.spotify.com/v1/tracks/28AMofKZekNPVodD2ULKwD,https://api.spotify.com/v1/audio-analysis/28AMofKZekNPVodD2ULKwD,249933,4
Break The Spell - Remastered,The Rolling Stones,0.422,0.918,11,-7.159,0,0.0453,0.0846,0.0149,0.379,0.78,193.076,audio_features,22g5bgRhnyaQMDHFhI9x4a,spotify:track:22g5bgRhnyaQMDHFhI9x4a,https://api.spotify.com/v1/tracks/22g5bgRhnyaQMDHFhI9x4a,https://api.spotify.com/v1/audio-analysis/22g5bgRhnyaQMDHFhI9x4a,186867,4
