index,uri
"a la folie, juliette armanet",spotify:track:2J9GcefkuKfHBl7DOMkyBq
"l'amour en solitaire, juliette armanet",spotify:track:2u3TwrQM6F3tg2yA6jqzjK
"no harm is done (feat. tunji ige), christine and the queens",spotify:track:2lLBjbwfxyQEb32rwTyxYC
"here, christine and the queens",spotify:track:4Cu2diaJZL5VJo5y4hHoc1
"science fiction, christine and the queens",spotify:track:176q92Z8Pn9FCm3cXjgJ7l
"wandering lovers, christine and the queens",spotify:track:7h1MnX7EqVXmsMgJvwnnP1
"ugly-pretty, christine and the queens",spotify:track:0CgeuA8OaptZ8QYawlVtHv
"the loving cup, christine and the queens",spotify:track:0angJqIeTakolJdvoNpAtg
"starshipper, christine and the queens",spotify:track:5gjPREYn4RBknUWZXDK1sp
"safe and holy, christine and the queens",spotify:track:63hIesjNbh0Ydl4TKM4cPc
"nuit 17 à 52, christine and the queens",spotify:track:1yNjs2dMriAHdL5zNU7OXl
"chaleur humaine, christine and the queens",spotify:track:5w0l7wpio347RsPzdJEsIc
"narcissus is back, christine and the queens",spotify:track:7yUzBfgSK6zO0qGkj6SnQ4
"doesn't matter, christine and the queens",spotify:track:4UH4lWuTEs9r8W0ZkJ5heS
"intranquillité, christine and the queens",spotify:track:3LY46JR7jcFNk9SDE5tz5c
"saint claude (version française), christine and the queens",spotify:track:5Ai8XBxieq1CR263UdhGdF
"it, christine and the queens",spotify:track:3qth4Wzm1QBGxkusVF8BaN
"paradis perdus, christine and the queens",spotify:track:7rUJX9xP2YcL62uJvtaeJd
"christine, christine and the queens",spotify:track:6tNDVXXaYWsBd3Mqhfelvl
"i disappear in your arms - bonus, christine and the queens",spotify:track:7k9L8N0jZcz9qFupVeI4Va
"tilted, christine and the queens",spotify:track:4U6GYrZi0xvNkUmFitCDED
"on ne meurt pas d'amour, clara luciani",spotify:track:4ovQY3yLU58scPdkK0IbkU
"so naïve, villagers",spotify:track:4MjRTKS6sJhHTof4U0uq18
"courage, villagers",spotify:track:0E9vvI2kGtr8TUW2kJmGX4
"darling arithmetic, villagers",spotify:track:62TlzoYO7kaQj1sox59Sno
"little bigot, villagers",spotify:track:1eLYjLMPj7UXzSks3IwnaN
"no one to blame, villagers",spotify:track:7ukf2Fu23rEOoPKbcrzGLh
"hot scary summer, villagers",spotify:track:2t5USj2lH8pPII6ox2Hch0
"the soul serene, villagers",spotify:track:6Ldzl8DVY21HvF50CYJioL
"everything i am is yours, villagers",spotify:track:281ioxkZbJ3p9hCvjD2bon
"dogwood blossom, fionn regan",spotify:track:1fkv8BNqfHePuLT8jdZNqT
"only you, yazoo",spotify:track:3UIXmHdXWroLttiNWNeDlz
"dog days are over, florence + the machine",spotify:track:1YLJVmuzeM2YSUkCCaTNUB
"breaking down, florence + the machine",spotify:track:2TYfPBSXeAJQgP1CpkXDUP
"girl with one eye, florence + the machine",spotify:track:0UdBCetwMDQO7JIhi7Waik
"bird song, florence + the machine",spotify:track:6EfZCB2wudriyD1vDjuAZ9
"hardest of hearts, florence + the machine",spotify:track:5Gf4tg1WJOzIw5iiOLBJzF
"long & lost, florence + the machine",spotify:track:5eSpqylqJdZPEX85nTGEVp
"too much is never enough, florence + the machine",spotify:track:3ikcPRWKVx5oSalVpLzQQu
"kiss with a fist, florence + the machine",spotify:track:0jv5OcbvTUHgO8FgHhya8b
"my boy builds coffins, florence + the machine",spotify:track:2ZdWa7qK1fe0dUSP6mJj4e
"all this and heaven too, florence + the machine",spotify:track:74GJoiemPE1VOyN9nVFs6k
"bedroom hymns, florence + the machine",spotify:track:5xJt5bwhmypiqHRVDjPGYH
"hurricane drunk, florence + the machine",spotify:track:1T0Kkq1Oio6nHVhenMQeDR
"june, florence + the machine",spotify:track:2yoaXLItTfWNpdFFpdF3Ti
"stand by me, florence + the machine",spotify:track:5XSU59wtE5CRCAEyHmmGy4
"blinding, florence + the machine",spotify:track:4tUOFydV4QoeqZOIoxzHNk
"falling, florence + the machine",spotify:track:3bENrkfntz1ugrsi8yzT9C
"third eye, florence + the machine",spotify:track:7Mz95vPtFlDGIiZ5d1XdT3
"shake it out - mtv unplugged, 2012, florence + the machine",spotify:track:2GMp7ZqMsBOnAVgTQOyPNB
"dog days are over - mtv unplugged, 2012, florence + the machine",spotify:track:1EWMC52f81plzO8HIHlO8q
"between two lungs, florence + the machine",spotify:track:5WnYyCWBbJyLChmd2sbZK9
"drumming song, florence + the machine",spotify:track:7yD1uhq8xqCSdHLSkQ6sYL
"i'm not calling you a liar, florence + the machine",spotify:track:3euILOYDltKArnqpupsE1W
"seven devils, florence + the machine",spotify:track:5qaLfqAUiqvsoL0l4T05Yx
"heartlines, florence + the machine",spotify:track:3w0Kw31MTI6NwWjCBJNUJk
"hiding, florence + the machine",spotify:track:6VVxlhDiGQeah3nPKStf2B
"no light, no light - mtv unplugged, 2012, florence + the machine",spotify:track:7BFab72CNred3EUfqXn3WA
"cornflake girl - recorded at rak studios, london, florence + the machine",spotify:track:0eJEcotVKze2Ioy4u0T7eR
"heavy in your arms, florence + the machine",spotify:track:3YZ4ccGSysav9mPqbni9JU
"lover to lover, florence + the machine",spotify:track:1LsZVVQxkbmL9izqfy1RRK
"south london forever, florence + the machine",spotify:track:3MZ7TxuXNnwYXm2KZGap5g
"rabbit heart (raise it up), florence + the machine",spotify:track:5RoLLyMmaEG4WiVMlp7r59
"breath of life, florence + the machine",spotify:track:5xze6PuNHYQhTWAPMSfDsB
"only if for a night, florence + the machine",spotify:track:3I4wuL82QeU3IR518TuV33
"howl, florence + the machine",spotify:track:3GS8qG28p2RF6M7S5rFdx5
"queen of peace, florence + the machine",spotify:track:4ZkGNzavB3e5mPpEP8HUjB
"hunger - recorded at rak studios, london, florence + the machine",spotify:track:1HwuSP4S2lun5IExwkCEOi
"what the water gave me, florence + the machine",spotify:track:3RiOPzAvhNKuMIdPYOrKV8
"how big, how blue, how beautiful, florence + the machine",spotify:track:7GlwvJ8iAbCEfZjGq3iwmZ
"big god, florence + the machine",spotify:track:1NcXkWB3UwXfMt8izByICb
"never let me go, florence + the machine",spotify:track:6cC9RY7MoUx5z3aHjDTNI6
"ship to wreck, florence + the machine",spotify:track:20NEld0MhrR4Zpgrf9brq8
"jenny of oldstones (game of thrones), florence + the machine",spotify:track:1u0THw5xaGd7sYzJEh48Lt
"sky full of song, florence + the machine",spotify:track:64fzn2ewOdSH57wrxTPGov
"delilah, florence + the machine",spotify:track:0fgSfUAnuJzzB8l8MdgRZg
"what kind of man, florence + the machine",spotify:track:1w9ta1CvXlJPRXh6Py2Mto
"no light, no light, florence + the machine",spotify:track:5nkYDYUSb1bvLJ4nP8CnQ1
"cosmic love, florence + the machine",spotify:track:0CSTvWUps1YmpQoXXay9ol
"living in a ghost town, the rolling stones",spotify:track:5RrrQhJKKKMJt3wB5n2N3t
"light of love, florence + the machine",spotify:track:3q8iHOd2icirSipnkE7fae
